id,name
1,Points of Interest & Landmarks
2,Gardens
3,Parks
4,Zoos
5,Observation Decks & Towers
6,Observatories & Planetariums
7,Neighborhoods
8,Monuments & Statues
9,Scenic Walking Areas
10,Public Transportation Systems
11,Trams
12,Lookouts
13,History Museums
14,Shopping Malls
15,Flea & Street Markets
16,Breweries
17,Religious Sites
18,Game & Entertainment Centers
19,Biking Trails
20,Nature & Wildlife Areas
21,Churches & Cathedrals
22,Historic Sites
23,Beaches
24,Military Museums
25,Architectural Buildings
26,Government Buildings
27,Art Galleries
28,Cultural Events
29,Bars & Clubs
30,Speciality & Gift Shops
31,Islands
32,Department Stores
33,Hiking Trails
34,Lessons & Workshops
35,Cooking Classes
36,Escape Games
37,Golf Courses
38,Historic Walking Areas
39,Dance Clubs & Discos
40,Theater & Performances
41,Taxis & Shuttles
42,Paint & Pottery Studios
