id,name,description,url,openingHours,duration,price,address,avgRating,numReviews,numReviews_5,numReviews_4,numReviews_3,numReviews_2,numReviews_1
2149128,Gardens by the Bay,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.",https://www.tripadvisor.com/Attraction_Review-g294265-d2149128-Reviews-Gardens_by_the_Bay-Singapore.html,5:00 AM - 2:00 AM,More than 3 hours,8.01,"18 Marina Gardens Drive Bayfront Plaza, Singapore 018953 Singapore",4.5,60393,43439,13817,2541,406,199
310900,Singapore Botanic Gardens,"This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.",https://www.tripadvisor.com/Attraction_Review-g294265-d310900-Reviews-Singapore_Botanic_Gardens-Singapore.html,5:00 AM - 12:00 AM,1-2 hours,,"1 Cluny Road, Singapore 259 569 Singapore",4.5,20016,14192,4899,822,66,37
4400781,Cloud Forest,,https://www.tripadvisor.com/Attraction_Review-g294265-d4400781-Reviews-Cloud_Forest-Singapore.html,9:00 AM - 9:00 PM,2-3 hours,11.42,"18 Marina Gardens Drive, Singapore 018953 Singapore",4.5,15161,11177,3078,715,138,53
324542,Singapore Zoo,"Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!",https://www.tripadvisor.com/Attraction_Review-g294265-d324542-Reviews-Singapore_Zoo-Singapore.html,8:30 AM - 6:00 PM,More than 3 hours,33.49,"80 Mandai Lake Road, Singapore 729826 Singapore",4.5,22544,14405,6127,1503,319,190
678639,Singapore Flyer,"At 165 metres tall, Singapore Flyer is a masterpiece of urban architecture and engineering that showcases not only the mesmerizing cosmopolitan cityscape of the tropical Lion City, but even the surrounding islands of Indonesia and parts of Malaysia in all their glory. In addition to offering panoramic views of Singapore's cosmopolitan cityscape, guests can also indulge in a flute of champagne, or savour the iconic Singapore Sling whilst hosted in a special themed capsule. Diners seeking both privacy and luxury can opt for a multi-sensory treat unlike any other with our Premium Sky Dining Flight, complete with a four-course dinner and an in-flight host.",https://www.tripadvisor.com/Attraction_Review-g294265-d678639-Reviews-Singapore_Flyer-Singapore.html,10:00 AM - 10:00 PM,1-2 hours,,"30 Raffles Avenue, Singapore 039803 Singapore",4.5,17410,9284,5753,1960,277,137
1837767,Sands Skypark Observation Deck,"Located on the roof of Marina Bay Sands, the Sands SkyPark Observation Deck boasts scenic views of the panoramic vistas of Marina Bay and Singapore’s world-class cityscape.",https://www.tripadvisor.com/Attraction_Review-g294265-d1837767-Reviews-Sands_Skypark_Observation_Deck-Singapore.html,9:30 AM - 11:00 PM,1-2 hours,24.41,"10 Bayfront Avenue Level 57, Marina Bay Sands Hotel, Singapore 018956 Singapore",4.5,17000,9572,4860,1853,463,253
8634325,Supertree Grove,,https://www.tripadvisor.com/Attraction_Review-g294265-d8634325-Reviews-Supertree_Grove-Singapore.html,,1-2 hours,,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",4.5,6112,4435,1370,261,36,10
317415,Chinatown,"For a fascinating peek into Singapore’s Chinese culture and history, Chinatown is good place to start. Here, you’ll enjoy a mix of heritage visits to museums, shopping as well as a good variety of food options, sure to leave a traveller happy and satisfied at the end of the day.",https://www.tripadvisor.com/Attraction_Review-g294265-d317415-Reviews-Chinatown-Singapore.html,8:00 AM - 12:00 AM,1-2 hours,,"Crot Trengganu, Singapore 048942 Singapore",4.0,14539,5591,6234,2286,306,122
644919,Merlion Park,"Standing at 8.6 metres high and weighing 70 tonnes, the Merlion statue has a lion’s head and a fish’s body, and is housed here in this 2,500 square metre park.",https://www.tripadvisor.com/Attraction_Review-g294265-d644919-Reviews-Merlion_Park-Singapore.html,,1-2 hours,,"1 Fullerton Road One Fullerton Merlion Park, Singapore 049213 Singapore",4.0,9643,3697,4039,1658,185,64
1888876,Waterfront Promenade,,https://www.tripadvisor.com/Attraction_Review-g294265-d1888876-Reviews-Waterfront_Promenade-Singapore.html,,,,,4.5,4450,2812,1425,188,17,8
