poi_id,category_id
2149128,1
2149128,2
310900,3
310900,2
4400781,1
4400781,3
4400781,2
324542,4
678639,1
678639,5
1837767,1
1837767,5
8634325,1
8634325,6
317415,7
644919,8
1888876,9
8016698,10
315470,11
315470,12
315470,9
324543,13
310896,13
2138910,14
13078277,15
1815807,16
317402,17
20053968,18
2338971,14
12970012,18
4717342,14
591382,19
591382,20
591382,3
2139551,14
2139492,14
379341,21
3459679,22
3459679,23
2139475,14
1583427,24
17434131,2
23808268,1
1888871,17
2344138,7
12105952,23
310895,21
591532,25
591532,26
379351,27
379351,22
379351,26
8820414,28
8178306,29
14149881,24
14149881,13
324771,30
317473,25
317473,26
2049172,7
324751,1
317421,25
317421,26
317438,31
8574463,32
3915753,7
7221059,33
7221059,9
1888873,30
16649256,3
19786382,3
19786382,2
15050991,34
15050991,35
14904083,34
14904083,35
25547486,18
2344513,29
21200572,36
21200572,18
590995,37
6412766,30
22834159,38
23235560,3
23235560,33
23235560,2
23138270,15
7275891,29
7275891,39
7275891,40
15360350,41
17821111,35
26356283,2
21353012,42
20318911,35
