id,url,name,type,openingHours,description,duration,price,address,region,avgRating,numReviews,numReviews_5,numReviews_4,numReviews_3,numReviews_2,numReviews_1
2149128,https://www.tripadvisor.com/Attraction_Review-g294265-d2149128-Reviews-Gardens_by_the_Bay-Singapore.html,Gardens by the Bay,"Points of Interest & Landmarks, Gardens",5:00 AM - 2:00 AM,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.",More than 3 hours,8.01,"18 Marina Gardens Drive Bayfront Plaza, Singapore 018953 Singapore",Central Area/City Area,4.5,60393,43439,13817,2541,406,199
310900,https://www.tripadvisor.com/Attraction_Review-g294265-d310900-Reviews-Singapore_Botanic_Gardens-Singapore.html,Singapore Botanic Gardens,"Parks, Gardens",5:00 AM - 12:00 AM,"This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.",1-2 hours,,"1 Cluny Road, Singapore 259 569 Singapore",Tanglin,4.5,20016,14192,4899,822,66,37
4400781,https://www.tripadvisor.com/Attraction_Review-g294265-d4400781-Reviews-Cloud_Forest-Singapore.html,Cloud Forest,"Points of Interest & Landmarks, Parks, Gardens",9:00 AM - 9:00 PM,,2-3 hours,11.42,"18 Marina Gardens Drive, Singapore 018953 Singapore",Central Area/City Area,4.5,15161,11177,3078,715,138,53
324542,https://www.tripadvisor.com/Attraction_Review-g294265-d324542-Reviews-Singapore_Zoo-Singapore.html,Singapore Zoo,Zoos,8:30 AM - 6:00 PM,"Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!",More than 3 hours,33.49,"80 Mandai Lake Road, Singapore 729826 Singapore",Central Water Catchment,4.5,22544,14405,6127,1503,319,190
678639,https://www.tripadvisor.com/Attraction_Review-g294265-d678639-Reviews-Singapore_Flyer-Singapore.html,Singapore Flyer,"Points of Interest & Landmarks, Observation Decks & Towers",10:00 AM - 10:00 PM,"At 165 metres tall, Singapore Flyer is a masterpiece of urban architecture and engineering that showcases not only the mesmerizing cosmopolitan cityscape of the tropical Lion City, but even the surrounding islands of Indonesia and parts of Malaysia in all their glory. In addition to offering panoramic views of Singapore's cosmopolitan cityscape, guests can also indulge in a flute of champagne, or savour the iconic Singapore Sling whilst hosted in a special themed capsule. Diners seeking both privacy and luxury can opt for a multi-sensory treat unlike any other with our Premium Sky Dining Flight, complete with a four-course dinner and an in-flight host.",1-2 hours,,"30 Raffles Avenue, Singapore 039803 Singapore",Marina Centre,4.5,17410,9284,5753,1960,277,137
1837767,https://www.tripadvisor.com/Attraction_Review-g294265-d1837767-Reviews-Sands_Skypark_Observation_Deck-Singapore.html,Sands Skypark Observation Deck,"Points of Interest & Landmarks, Observation Decks & Towers",9:30 AM - 11:00 PM,"Located on the roof of Marina Bay Sands, the Sands SkyPark Observation Deck boasts scenic views of the panoramic vistas of Marina Bay and Singapore’s world-class cityscape.",1-2 hours,24.41,"10 Bayfront Avenue Level 57, Marina Bay Sands Hotel, Singapore 018956 Singapore",Marina Bay,4.5,17000,9572,4860,1853,463,253
8634325,https://www.tripadvisor.com/Attraction_Review-g294265-d8634325-Reviews-Supertree_Grove-Singapore.html,Supertree Grove,"Points of Interest & Landmarks, Observatories & Planetariums",,,1-2 hours,,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",Central Area/City Area,4.5,6112,4435,1370,261,36,10
317415,https://www.tripadvisor.com/Attraction_Review-g294265-d317415-Reviews-Chinatown-Singapore.html,Chinatown,Neighborhoods,8:00 AM - 12:00 AM,"For a fascinating peek into Singapore’s Chinese culture and history, Chinatown is good place to start. Here, you’ll enjoy a mix of heritage visits to museums, shopping as well as a good variety of food options, sure to leave a traveller happy and satisfied at the end of the day.",1-2 hours,,"Crot Trengganu, Singapore 048942 Singapore",Outram,4,14539,5591,6234,2286,306,122
644919,https://www.tripadvisor.com/Attraction_Review-g294265-d644919-Reviews-Merlion_Park-Singapore.html,Merlion Park,Monuments & Statues,,"Standing at 8.6 metres high and weighing 70 tonnes, the Merlion statue has a lion’s head and a fish’s body, and is housed here in this 2,500 square metre park.",1-2 hours,,"1 Fullerton Road One Fullerton Merlion Park, Singapore 049213 Singapore",Marina Bay,4,9643,3697,4039,1658,185,64
1888876,https://www.tripadvisor.com/Attraction_Review-g294265-d1888876-Reviews-Waterfront_Promenade-Singapore.html,Waterfront Promenade,Scenic Walking Areas,,,,,,Marina Centre,4.5,4450,2812,1425,188,17,8
8016698,https://www.tripadvisor.com/Attraction_Review-g294265-d8016698-Reviews-Singapore_Mass_Rapid_Transit_SMRT-Singapore.html,Singapore Mass Rapid Transit  (SMRT),Public Transportation Systems,,,< 1 hour,,,Marina Bay,4.5,24436,19489,4007,645,134,161
315470,https://www.tripadvisor.com/Attraction_Review-g294265-d315470-Reviews-Singapore_Cable_Car-Singapore.html,Singapore Cable Car,"Trams, Lookouts, Scenic Walking Areas",9:00 AM - 10:00 PM,"The breath-taking connection between Faber Peak Singapore and Sentosa Island Established since 1974, Singapore Cable Car is the nation's first and only cableway that links Faber Peak on mainland Singapore to the island resort of Sentosa, before flying you to the Merlion or the sandy beach at Siloso. Today, the cable car rides are enjoyed across a Cable Car Sky Network of more than 100 cabins spanning almost 5 kilometres on the Mount Faber Line and the Sentosa Line. A 'joyride' across the Cable Car Sky Network offers a 360-degree aerial and visual treat of the entire Sentosa-HarbourFront skyline and the resort island. The scenery transforms as the cabins soar above the forest, through a skyscraper, over the harbour and travel across the jungle, sand and sea. Our passionate service ambassadors are on hand to create happy moments for all cable car joyriders. Singapore Cable Car Opening Hours: From 8.45am to 10pm (Last boarding: 9.30pm)",1-2 hours,21.32,"109 Mount Faber Road Faber Peak, Singapore 099203 Singapore",Mount Faber Park,4.5,4239,2165,1476,454,90,54
324543,https://www.tripadvisor.com/Attraction_Review-g294265-d324543-Reviews-Changi_Chapel_and_Museum-Singapore.html,Changi Chapel and Museum,History Museums,9:30 AM - 5:30 PM,"The newly revamped Changi Chapel and Museum (CCM) features new content and artefacts presented in an intimate and engaging format to tell the story of the prisoners of war and civilians interned in Changi prison camp during the Japanese Occupation. As part of the revamp, the National Museum of Singapore which manages Changi Museum has been collecting stories and personal objects from families of former internees that emphasise their personal experiences. The museum’s narrative is centred on remembrance and reflection, encouraging visitors to contemplate both the hardships that the internees underwent, as well as their courage and resilience in the face of difficulties.",1-2 hours,,"1000 Upper Changi Road North, Singapore 507707 Singapore",Changi West,4.5,2088,1218,664,172,20,14
310896,https://www.tripadvisor.com/Attraction_Review-g294265-d310896-Reviews-Asian_Civilisations_Museum-Singapore.html,Asian Civilisations Museum,History Museums,10:00 AM - 7:00 PM,"The Asian Civilisations Museum is devoted to exploring the rich artistic heritage of Asia, especially the ancestral cultures of Singaporeans. Founded in 1993 and in its present building by the Singapore River since 2003, the museum traces its roots to the Raffles Museum, founded in the middle of the 19th century. ACM focuses on the many historical connections between the cultures of Asia, and between Asia and the world. Singapore’s history as a port city that brought people together from all over the world is used as a means of examining the history of Asia. Special exhibitions bring magnificent objects from around the world to our Singapore audience. Programmes like the annual River Nights encourage visitors to connect more closely with culture and the arts.",2-3 hours,12.01,"1 Empress Place Empress Place Building, Singapore 179555 Singapore",City Hall,4.5,2231,1213,768,214,30,7
2138910,https://www.tripadvisor.com/Attraction_Review-g294265-d2138910-Reviews-The_Shoppes_at_Marina_Bay_Sands-Singapore.html,The Shoppes at Marina Bay Sands,Shopping Malls,10:00 AM - 12:00 AM,"The Shoppes at Marina Bay Sands(R) is one of Singapore's largest luxury shopping malls, with over 800,000 square feet of high-end retail shoppes such as Louis Vuitton, Miu Miu and Chanel. This eye-catching modern shopping mecca features a contemporary and open design, with breathtaking views of Singapore's city skyline. Located in the heart of the Central Business District, visitors can look forward to a refreshing mix of international luxury brands, emerging labels and new concepts.",,,"10 Bayfront Avenue Marina Bay Sands, Singapore 018972 Singapore",Marina Bay,4.5,2244,1009,894,282,37,22
13078277,https://www.tripadvisor.com/Attraction_Review-g294265-d13078277-Reviews-Maxwell_Food_Centre-Singapore.html,Maxwell Food Centre,Flea & Street Markets,8:00 AM - 2:00 AM,,,,"1 Kadayanallur Street, Singapore 069184 Singapore",Central Business District,4,3355,1322,1555,402,58,18
1815807,https://www.tripadvisor.com/Attraction_Review-g294265-d1815807-Reviews-Tiger_Brewery_Tour-Singapore.html,Tiger Brewery Tour,Breweries,1:00 PM - 5:00 PM,"Step into the home of Tiger Beer and see how we brew Singapore’s iconic beer, with just four high-quality ingredients! The Tiger Brewery Tour takes you behind each step of the brewing process – from milling the malt to packaging. To round it off, you will try your hand at tapping the perfect pint of draught beer, and sample some of the freshest beers that will touch your lips. Book your tour today!",2-3 hours,21.33,"459 Jalan Ahmad Ibrahim, Singapore 639934 Singapore",Tuas,4,270,101,94,48,17,10
